Period,Type,Average_Sentiment
2024-08-31,Daily,0.04792582107473024
2024-09-01,Daily,0.0499775736549756
2024-09-02,Daily,0.04873580596229732
2024-09-03,Daily,0.0493736623005689
2024-09-04,Daily,0.04784953009458027
2024-09-05,Daily,0.04117827071711984
2024-09-06,Daily,0.038073833743986284
2024-09-07,Daily,0.03831547531289034
2024-09-08,Daily,0.0372056175116811
2024-09-09,Daily,0.038662113655426225
2024-09-11,Daily,0.03798074722424469
2024-09-12,Daily,0.03796818833540186
2024-09-13,Daily,0.03883656293081044
2024-09-15,Daily,0.038906444102026067
2024-09-16,Daily,0.03904851504169388
2024-09-17,Daily,0.03785423924250984
2024-09-18,Daily,0.03764049996696141
2024-09-19,Daily,0.03765856757677294
2024-09-20,Daily,0.03812506253866846
2024-09-21,Daily,0.03868966598947921
2024-09-22,Daily,0.038361794476491844
2024-09-23,Daily,0.038817969937610566
2024-09-24,Daily,0.037282272286015265
2024-09-25,Daily,0.038903299441504606
2024-09-26,Daily,0.03874240780763764
2024-09-27,Daily,0.0384629937230834
2024-09-28,Daily,0.038169979161386966
2024-09-29,Daily,0.0379260071528587
2024-09-30,Daily,0.03883985646439881
2024-10-01,Daily,0.035272319889686446
2024-10-02,Daily,0.036166881799617565
2024-10-03,Daily,0.03617186351746541
2024-10-04,Daily,0.03728371572665185
2024-10-05,Daily,0.036040669932165904
2024-10-06,Daily,0.03562359716168273
2024-10-07,Daily,0.033094336555025444
2024-10-08,Daily,0.03005473281115216
2024-10-09,Daily,0.03252204435073626
2024-10-10,Daily,0.03966167997769701
2024-10-11,Daily,0.0384234713057234
2024-10-12,Daily,0.03783616186005479
2024-10-14,Daily,0.03853301182467326
2024-10-15,Daily,0.03836712609326483
2024-10-16,Daily,0.03819081689069647
2024-10-17,Daily,0.036963396587416535
2024-10-18,Daily,0.03717616247023511
2024-10-19,Daily,0.037165679012962805
2024-10-20,Daily,0.03604089851909842
2024-10-21,Daily,0.036055573760799334
2024-10-22,Daily,0.03732587746453007
2024-10-23,Daily,0.03777354905090945
2024-10-24,Daily,0.03919724938209885
2024-10-25,Daily,0.03718162344662441
2024-10-26,Daily,0.03774427504909873
2024-10-27,Daily,0.03781375307927609
2024-10-28,Daily,0.03811882188496114
2024-10-29,Daily,0.03926993084306422
2024-10-30,Daily,0.040005778713058604
2024-10-31,Daily,0.0396567539679024
2024-11-01,Daily,0.03920550883590077
2024-11-02,Daily,0.03889883160796598
2024-11-03,Daily,0.037715343897780175
2024-11-04,Daily,0.03792539100379117
2024-11-05,Daily,0.039643589217112
2024-11-06,Daily,0.06153943620242968
2024-11-07,Daily,0.08460361854794744
2024-11-08,Daily,0.07796495737917634
2024-W35,Weekly,0.049040128318069254
2024-W36,Weekly,0.04265121154914889
2024-W37,Weekly,0.038311266972788645
2024-W38,Weekly,0.038250815450920364
2024-W39,Weekly,0.03833445816585438
2024-W40,Weekly,0.036574840409955664
2024-W41,Weekly,0.037067733130122724
2024-W42,Weekly,0.037271184352441956
2024-W43,Weekly,0.037686809887420965
2024-W44,Weekly,0.039002608987722766
2024-W45,Weekly,0.061047896904666964
