Period,Type,Average_Sentiment
2024-08-31,Daily,0.07607764899686681
2024-09-01,Daily,0.0755394847241641
2024-09-02,Daily,0.07571269185516347
2024-09-03,Daily,0.07641120717886445
2024-09-04,Daily,0.07637048793169615
2024-09-05,Daily,0.07595718860276211
2024-09-06,Daily,0.07505757035863905
2024-09-07,Daily,0.07498927177061646
2024-09-08,Daily,0.07321854507080032
2024-09-09,Daily,0.07484075404248178
2024-09-11,Daily,0.07476131319959242
2024-09-12,Daily,0.075243731755572
2024-09-13,Daily,0.07508861795082432
2024-09-15,Daily,0.07515479937020145
2024-09-16,Daily,0.07569541966361672
2024-09-17,Daily,0.07486350729200858
2024-09-18,Daily,0.07530389252807969
2024-09-19,Daily,0.0748866630849564
2024-09-20,Daily,0.07532697401951603
2024-09-21,Daily,0.07494158960143707
2024-09-22,Daily,0.07416296097036476
2024-09-23,Daily,0.07482429285501986
2024-09-24,Daily,0.07401949723012616
2024-09-25,Daily,0.07559915598258202
2024-09-26,Daily,0.07593817320249642
2024-09-27,Daily,0.07606757276183569
2024-09-28,Daily,0.07488687849393542
2024-09-29,Daily,0.07376941512913478
2024-09-30,Daily,0.0751766488842615
2024-10-01,Daily,0.07382840936564376
2024-10-02,Daily,0.07304248970635915
2024-10-03,Daily,0.07257067771019562
2024-10-04,Daily,0.07422827533491484
2024-10-05,Daily,0.07240446866219737
2024-10-06,Daily,0.07253016536933202
2024-10-07,Daily,0.07062457367664263
2024-10-08,Daily,0.06884957053426871
2024-10-09,Daily,0.07000907068246554
2024-10-10,Daily,0.07561020701204961
2024-10-11,Daily,0.0757401399681483
2024-10-12,Daily,0.07696316733162813
2024-10-14,Daily,0.08294700543355582
2024-10-15,Daily,0.07639356940474791
2024-10-16,Daily,0.0739933961776672
2024-10-17,Daily,0.07286274550594732
2024-10-18,Daily,0.07423065951510559
2024-10-19,Daily,0.07337037690011886
2024-10-20,Daily,0.07169604492957966
2024-10-21,Daily,0.07146842633871818
2024-10-22,Daily,0.07247416999181797
2024-10-23,Daily,0.07333770779752902
2024-10-24,Daily,0.0739471167672045
2024-10-25,Daily,0.07258376408969487
2024-10-26,Daily,0.07275387040778883
2024-10-27,Daily,0.07254344650166131
2024-10-28,Daily,0.07261280610655277
2024-10-29,Daily,0.07333144760971165
2024-10-30,Daily,0.07663007787613138
2024-10-31,Daily,0.07635016812468375
2024-11-01,Daily,0.07646128244167777
2024-11-02,Daily,0.07431037593814765
2024-11-03,Daily,0.07247985366741859
2024-11-04,Daily,0.07362135870409002
2024-11-05,Daily,0.0768509971470443
2024-11-06,Daily,0.07526273648925276
2024-11-07,Daily,0.07498207434975422
2024-11-08,Daily,0.0745775119494786
2024-W35,Weekly,0.07578537187210439
2024-W36,Weekly,0.07530191241189924
2024-W37,Weekly,0.07503969542896186
2024-W38,Weekly,0.07500439191412367
2024-W39,Weekly,0.07503785289758519
2024-W40,Weekly,0.07324665030808622
2024-W41,Weekly,0.07485358469352432
2024-W42,Weekly,0.07407397701173521
2024-W43,Weekly,0.0728199765035387
2024-W44,Weekly,0.0746378179510225
2024-W45,Weekly,0.07513727634679443
