Period,Type,Average_Sentiment
2024-08-31,Daily,0.09304249603849156
2024-09-01,Daily,0.09206858843279431
2024-09-02,Daily,0.09127888753625295
2024-09-03,Daily,0.09260880592781404
2024-09-04,Daily,0.09219494174152591
2024-09-05,Daily,0.09075248340977397
2024-09-06,Daily,0.09027424406760848
2024-09-07,Daily,0.09000026867762054
2024-09-08,Daily,0.08759321711978
2024-09-09,Daily,0.08966413231202067
2024-09-11,Daily,0.08848195135214271
2024-09-12,Daily,0.08988560479988517
2024-09-13,Daily,0.09442087814851045
2024-09-15,Daily,0.09379133872890866
2024-09-16,Daily,0.09263616554755283
2024-09-17,Daily,0.0897957321038758
2024-09-18,Daily,0.09030759320572213
2024-09-19,Daily,0.08911073475863018
2024-09-20,Daily,0.08957062571588263
2024-09-21,Daily,0.09060306530198273
2024-09-22,Daily,0.08938517076630158
2024-09-23,Daily,0.09029600190361849
2024-09-24,Daily,0.08811628643318214
2024-09-25,Daily,0.09057426528314545
2024-09-26,Daily,0.09134641801068032
2024-09-27,Daily,0.09144139606808292
2024-09-28,Daily,0.09013731470298783
2024-09-29,Daily,0.08949154377007996
2024-09-30,Daily,0.09075414916080517
2024-10-01,Daily,0.08390751431430353
2024-10-02,Daily,0.0866048745339411
2024-10-03,Daily,0.08653558762071509
2024-10-04,Daily,0.08929567884533657
2024-10-05,Daily,0.08636527220535771
2024-10-06,Daily,0.08659021626993885
2024-10-07,Daily,0.08131426147369533
2024-10-08,Daily,0.07624516459958611
2024-10-09,Daily,0.07933481270681021
2024-10-10,Daily,0.09249873042551406
2024-10-11,Daily,0.08727883951148699
2024-10-12,Daily,0.08767656563178576
2024-10-14,Daily,0.0909268480068655
2024-10-15,Daily,0.08989977467478717
2024-10-16,Daily,0.09024300954118304
2024-10-17,Daily,0.08856714318384566
2024-10-18,Daily,0.08839789819092961
2024-10-19,Daily,0.08822183116315473
2024-10-20,Daily,0.08599660667636458
2024-10-21,Daily,0.08581212788883892
2024-10-22,Daily,0.08851976109870639
2024-10-23,Daily,0.08930652326990922
2024-10-24,Daily,0.09126720939994269
2024-10-25,Daily,0.0890188920601667
2024-10-26,Daily,0.09000322588764448
2024-10-27,Daily,0.08969438108546603
2024-10-28,Daily,0.0887267407035057
2024-10-29,Daily,0.09068384462757409
2024-10-30,Daily,0.09334171916678351
2024-10-31,Daily,0.09179695010513893
2024-11-01,Daily,0.09176574519156233
2024-11-02,Daily,0.09192502045305824
2024-11-03,Daily,0.08937514408428628
2024-11-04,Daily,0.08909807443899145
2024-11-05,Daily,0.09217289203737161
2024-11-06,Daily,0.08944334100501405
2024-11-07,Daily,0.09107823556030827
2024-11-08,Daily,0.08895379683804852
2024-W35,Weekly,0.09251356661821963
2024-W36,Weekly,0.09056150440957182
2024-W37,Weekly,0.09041208654554635
2024-W38,Weekly,0.09021453704357027
2024-W39,Weekly,0.09022896605636616
2024-W40,Weekly,0.08749987778215729
2024-W41,Weekly,0.08643880508630132
2024-W42,Weekly,0.08845790348368515
2024-W43,Weekly,0.08930930907628522
2024-W44,Weekly,0.09114060877968802
2024-W45,Weekly,0.09027564310368248
